time (min)	uvrD	lexA	umuDC	recA	uvrA	uvrY	ruvA	polB
0	0	0	0	0	0	0	0	0
6	242.8116667	738.5883333	0	1696.681667	1252.276667	90.61	0	43.59833333
12	341.765	1726.663333	0	1942.601667	1407.586667	24.25833333	0	53.46833333
18	268.555	2161.133333	70.48333333	2103.701667	1456.77	0	29.94333333	57.52166667
24	144.0233333	1921.125	142.0983333	2006.843333	1409.568333	0	64.135	71.92333333
30	103.525	1619.07	151.3683333	1847.105	1260.02	0	60.05	60.95666667
36	83.96333333	1190.89	157.99	1653.853333	1043.75	64.61	36.96333333	56.86166667
42	92.25166667	849.2483333	178.5266667	1431.613333	841.59	54.9	16.56333333	35.03833333
48	96.46833333	655.355	156.8716667	1171.326667	571.8833333	39.93166667	0	19.44166667
54	117.2366667	494.62	156.1766667	949.7816667	352.265	24.29666667	0	19.72666667
60	118.905	439.2416667	142.3916667	793.28	244.055	11.74166667	0	28.03166667
66	91.12666667	368.7466667	122.7116667	688.285	231.9516667	9.123333333	0	34.80333333
72	88.77	382.2266667	86.77666667	634.6983333	206.785	23.70333333	13.65833333	40.76333333
78	90.12333333	337.565	70.50833333	566.6983333	207.63	28.91333333	5.705	51.62833333
84	116.5716667	257.7633333	47.23	494.675	227.3216667	26.345	3.593333333	31.74666667
90	109.3816667	292.9166667	30.78166667	472.4083333	229.7683333	15.63666667	12.795	20.59666667
96	98.50166667	287.015	48.43333333	464.7233333	210.7533333	5.783333333	0	28.23333333
102	73.28166667	227.6633333	57.375	394.5216667	185.435	0	0	29.58666667
108	50.03666667	216.045	34.17166667	383.9116667	165.2483333	0	2.228333333	23.58166667
114	45.985	238.9266667	36.34	432.2333333	153.7933333	0	0.338333333	35.15
120	40.07333333	210.1783333	29.68666667	395.7133333	143.5933333	12.60833333	2.98	40.93333333
126	58.32666667	183.9533333	15.01333333	373.94	143.9816667	27.96166667	0.463333333	36.06166667
132	58.50666667	165.0283333	19.79666667	371.1266667	134.0816667	22.02	16.425	45.14833333
138	46.93666667	182.38	32.57666667	386.2716667	107.805	18.29666667	19.91	47.04833333
144	31.90666667	188.3966667	52.92833333	367.355	81.03	18.98	17.08666667	50.55166667
150	22.41666667	182.615	57.57333333	320.6033333	86.47833333	19.305	14.59833333	47.62333333
156	19.25666667	169.57	66.395	310.9766667	85.68333333	9.528333333	14.32833333	48.43333333
162	13.20333333	163.6133333	60.95166667	313.8333333	95.20333333	13.715	0	43.76333333
168	17.96166667	164.42	39.37	253.6516667	105.0616667	20.76333333	0	37.295
174	28.90166667	141.8766667	34.28	248.74	99.65333333	20.34833333	5.128333333	29.25166667
180	50.495	89.80833333	29.41833333	263.0316667	78.34166667	12.27	3.726666667	26.50333333
186	44.505	101.6083333	27.76	261.735	67.54333333	10.88833333	0	25.75666667
192	70.2	133.7833333	31.875	232.7783333	77.24166667	12.49166667	0	26.72833333
198	86.82	123.6283333	38.45166667	228.0216667	69.655	19.36	0	35.58333333
204	78.06333333	125.5916667	38.07333333	259.8566667	62.51666667	15.05	0	30.035
210	69.30666667	169.635	40.925	282.47	70.92166667	18.51333333	4.788333333	28.83666667
216	67.20166667	164.885	39.91333333	269.2133333	74.12166667	14.28833333	2.94	25.315
222	41.18666667	159.155	34.09833333	244.2366667	61.16166667	3.495	10.02	27.44
228	26.82833333	131.76	25.42	169.6133333	56.93833333	0	15.595	20.24833333
234	23.735	117.5366667	15.16833333	131.7	67.68833333	0	6.683333333	21.02333333
240	20.33833333	112.975	7.128333333	103.1366667	79.195	0	0	20.54333333
246	18.385	103.38	8.178333333	57.17166667	85.94166667	0	0	5.63
252	22.30833333	102.4816667	21.05833333	85.11666667	87.62	0	0	1.328333333
258	20.58166667	91.635	16.67	137.2083333	94.49666667	0	0	0.308333333
264	25.29666667	71.67	17.51833333	175.0866667	89.79333333	0	0	1.743333333
270	38.22	68.645	23.065	172.6233333	77.405	0	0.061666667	0
276	50.435	94.6	18.46166667	194.7683333	77.615	0.2	6.435	5.205
282	65.70333333	89.63666667	18.1	196.7383333	84.17166667	4.905	21.855	4.098333333
288	66.76333333	88.53666667	21.25666667	169.2433333	80.62833333	5.03	16.48166667	2.885
294	65.20833333	121.2633333	23.46	140.6466667	67.99	0	13.64333333	0

0	0	0	0	0	0	0	0	0
6	98.50333333	1230.883333	130.605	1616.456667	1307.168333	87.16166667	0	0
12	140.08	1517.816667	168.0183333	1909.685	1646.663333	7.871666667	0	0
18	212.63	1621.343333	223.6916667	2199.845	1659.016667	0	20.38333333	52.735
24	200.5383333	1559.735	251.7383333	2274.756667	1401.616667	0	24.81666667	61.02666667
30	186.4533333	1411.818333	227.0533333	2185.285	1191.71	0	23.92666667	58.30333333
36	142.3716667	1316.218333	194.18	2059.495	990.3566667	53.45	22.04333333	89.10166667
42	99.46833333	1126.01	175.5833333	1852.036667	895.2816667	89.83666667	15.075	77.07833333
48	118.4266667	866.4633333	148.085	1594.435	750.895	102.99	14.39166667	32.91666667
54	140.3766667	739.9333333	151.7683333	1328.248333	566.9383333	95.07333333	33.14166667	38.46
60	66.93	685.9716667	169.0166667	1144.33	432.1633333	63.79666667	46.68833333	40.21833333
66	55.73833333	660.0633333	159.9883333	1025.093333	335.43	40.665	37.89	18.84833333
72	68.29666667	585.8916667	146.1683333	956.9733333	293.5716667	41.63	31.61333333	23.19333333
78	57.91333333	453.9616667	131.23	886.795	277.3583333	55.09833333	0	30.00333333
84	56.64833333	498.4233333	92.77333333	864.2716667	308.6333333	69.58166667	0	20.35833333
90	58.865	498.95	70.035	868.6966667	289.22	61.84833333	0	37.89666667
96	56.23166667	400.4033333	54.94333333	870.88	276.4416667	50.385	0	48.12666667
102	55.36166667	456.9583333	57.85166667	874.885	305.6083333	6.401666667	23.08166667	45.44166667
108	30.21	470.65	54.26	889.7283333	299.51	0.166666667	42.75833333	43.40666667
114	20.27333333	444.7916667	48.19833333	853.4533333	277.5516667	2.766666667	36.255	45.78833333
120	23.47333333	398.7966667	44.55	818.6666667	265.7416667	37.52833333	23.67666667	34.755
126	47.84833333	389.5566667	53.875	840.1033333	262.76	39.405	17.50666667	44.09833333
132	63.44	337.7333333	48.9	748.1416667	219.965	41.56833333	0	53.7
138	56.79666667	276.215	37.56	652.8116667	187.2716667	22.42666667	0	44.27
144	40.96333333	249.8483333	34.39333333	654.6633333	183.2866667	10.87666667	0	33.09
150	34.36333333	241.4766667	32.19166667	654.66	192.0333333	10.71166667	0	42.90333333
156	39.08666667	263.76	31.10666667	660.5033333	172.0366667	22.855	0	43.015
162	48.68	264.0116667	39.38666667	646.1066667	156.675	17.935	0.816666667	35.48666667
168	59.035	257.3783333	50.25833333	642.745	171.4733333	35.15833333	2.218333333	34.37833333
174	75.10833333	278.4183333	50.75166667	758.8316667	185.3083333	46.58166667	7.833333333	41.515
180	82.55833333	261.855	55.51833333	754.9566667	196.845	44.43666667	0	32.89
186	57.83666667	204.9766667	46.96666667	593.0716667	180.1216667	38.565	0	19.25666667
192	45.43666667	167.3883333	39.70166667	568.7883333	185.3066667	40.60833333	0	15.42833333
198	27.37833333	205.5766667	33.41666667	541.335	185.7616667	33.36	0	4.821666667
204	12.89	190.8283333	28.51666667	466.4783333	169.655	21.39833333	0	2.391666667
210	4.351666667	150.375	27.60833333	371.5916667	149.7483333	12.58833333	0	9.993333333
216	12.18166667	187.7	28.76666667	322.37	190.59	18.87333333	0	10.75833333
222	11.46	199.5016667	29.46166667	370.8133333	194.02	10.52333333	0	5.08
228	24.16833333	167.445	31.24	352.5983333	203.8466667	10.67666667	0	10.82333333
234	46.295	122.3466667	30.55333333	360.12	208.2583333	6.286666667	0	10.695
240	66.25333333	120.09	24.29833333	397.3516667	223.1833333	14.73166667	0	6.61
246	68.065	78.1	18.22	403.5016667	212.1316667	12.96	8.545	13.68666667
252	66.52833333	76.74166667	17.78666667	341.4866667	182.4283333	24.11833333	17.74	23.46666667
258	60.07333333	84.60333333	20.46666667	380.63	185.5216667	23.02666667	21.63666667	13.49333333
264	58.45333333	111.97	10.92333333	342.2766667	187.5916667	11.10333333	22.6	7.343333333
270	48.41	91.24333333	20.64833333	215.3983333	152.7733333	22.78	23.66666667	8.43
276	43.79833333	80.08333333	31.565	208.655	135.5916667	20.26166667	25.485	0
282	38.32833333	53.93333333	22.32	199.3016667	140.34	0	9.49	0
288	25.88333333	1.231666667	19.72666667	108.9733333	125.2816667	0	5.791666667	0
294	25.28166667	0	27.56833333	100.4366667	122.0783333	0	0	0
